270746.457	270751.6805	270756.904	270762.1275	270767.351	270772.5745	270777.798	270783.0215	270788.245	270793.4685	270798.692	270803.9155	270809.139	270814.3625	270819.586
270740.312	270746.29105496	270751.96234856	270757.40265453	270762.75040683	270768.09280017	270773.45363728	270778.82359236	270784.19355899	270789.56650177	270794.96080735	270800.40898896	270805.87884132	270810.99026044	270814.962
270735.344	270741.70050736	270747.67427677	270753.26188537	270758.70243989	270764.15398018	270769.645019	270775.14990935	270780.65555164	270786.17517944	270791.74210103	270797.37109451	270802.88336698	270807.69012101	270811.432
270730.82	270737.80681781	270744.08116779	270749.78711758	270755.30069461	270760.83774918	270766.42750943	270772.03419449	270777.64573961	270783.28378626	270788.97958836	270794.69533424	270800.13381106	270804.7399838	270808.425
270727.607	270734.89912696	270741.2200638	270746.93537682	270752.47563788	270758.05540611	270763.69495425	270769.35477948	270775.02472756	270780.7267631	270786.47573889	270792.19104415	270797.56725128	270802.17413297	270805.9958
270725.744	270732.66019579	270738.84358406	270744.5280732	270750.06726362	270755.64832711	270761.28930549	270766.95328578	270772.62894227	270778.32882776	270784.04501813	270789.68425283	270795.03506374	270799.90623227	270804.372
270724.165	270730.71072981	270736.72692014	270742.37233363	270747.89898304	270753.45488097	270759.06217249	270764.69192249	270770.32898716	270775.9727599	270781.60415171	270787.16009391	270792.5511357	270797.73606957	270802.803
270722.872	270728.94180235	270734.71996849	270740.30584623	270745.81796516	270751.3403233	270756.89619631	270762.4695814	270768.04424518	270773.61169222	270779.15680835	270784.6559698	270790.09979839	270795.51532111	270800.952
270721.864	270727.2488367	270732.70730135	270738.21553744	270743.71833562	270749.21319346	270754.7169818	270760.23004921	270765.74143342	270771.2417605	270776.72424997	270782.18724317	270787.6434813	270793.12425299	270798.657
270720.418	270725.3831499	270730.61271266	270736.05336339	270741.55001554	270747.02814159	270752.49216612	270757.95644118	270763.41916557	270768.87286757	270774.31547405	270779.75683481	270785.22258575	270790.7381257	270796.306
270718.457	270723.23764158	270728.39414152	270733.81169268	270739.30223474	270744.77001642	270750.21111678	270755.64587506	270761.08044674	270766.51013642	270771.93138649	270777.34770601	270782.77694721	270788.25740962	270793.802
270715.873	270720.90173642	270726.11983923	270731.5140669	270736.9783326	270742.43322803	270747.86500046	270753.28855774	270758.71286675	270764.13719163	270769.55882113	270774.97476838	270780.38250677	270785.7922823	270791.234
270713.294	270718.45016147	270723.73345031	270729.12623449	270734.56935056	270740.01330645	270745.44426966	270750.86925481	270756.29526828	270761.72434598	270767.15763148	270772.59445933	270778.02113344	270783.39536082	270788.665
270710.666	270715.89428653	270721.21255697	270726.61611532	270732.05763887	270737.50258165	270742.94112124	270748.37658604	270753.81304703	270759.25207514	270764.69465297	270770.14041063	270775.57963598	270780.98065831	270786.307
270708.059	270713.23853419	270718.55596611	270723.97139154	270729.42758091	270734.88912537	270740.34661354	270745.80246145	270751.25914336	270756.71630003	270762.17163552	270767.6221345	270773.07017058	270778.54231093	270784.1
270705.158	270710.40946316	270715.74880163	270721.18630237	270726.67159311	270732.16464735	270737.65404752	270743.14202302	270748.63069281	270754.11904531	270759.60462145	270765.0864981	270770.57290275	270776.09280382	270781.682
270702.192	270707.39956961	270712.77825123	270718.27274679	270723.80819482	270729.34515448	270734.8767683	270740.40705013	270745.93830072	270751.47016088	270757.00261049	270762.53833266	270768.0826509	270773.63626048	270779.187
270698.845	270704.19969745	270709.71504302	270715.29816396	270720.89092315	270726.47571128	270732.05429243	270737.63194353	270743.21103951	270748.79188829	270754.37508929	270759.96128886	270765.54669749	270771.11535033	270776.641
270695.448	270701.10503456	270706.72690262	270712.34724514	270717.97316789	270723.60009302	270729.22546565	270734.85058307	270740.47727328	270746.10638743	270751.73743838	270757.36619738	270762.9814458	270768.56860646	270774.129
270692.555	270698.19317245	270703.79338422	270709.41404258	270715.06500288	270720.73174508	270726.40245342	270732.07369298	270737.74631699	270743.42158322	270749.0987753	270754.771363	270760.42328494	270766.03601549	270771.612
270689.686	270695.17892015	270700.77963754	270706.44742389	270712.14819195	270717.86197231	270723.57956519	270729.29807475	270735.01750306	270740.73857279	270746.46105279	270752.18028146	270757.88017237	270763.52849363	270769.101
270686.423	270692.00473411	270697.6988834	270703.4469628	270709.21141988	270714.97931909	270720.74825095	270726.51799644	270732.28808511	270738.05761088	270743.82481678	270749.58612993	270755.33416829	270761.05547863	270766.745
270683.1	270688.85658631	270694.62655578	270700.42514187	270706.24209745	270712.0644449	270717.88751006	270723.71131753	270729.53571814	270735.35894402	270741.17685071	270746.9834925	270752.77885451	270758.58546606	270764.452
270680.002	270685.75866126	270691.52439503	270697.34463781	270703.20477575	270709.078474	270714.95406541	270720.83071016	270726.7095499	270732.59055651	270738.47119119	270744.34394004	270750.19937068	270756.04481343	270761.909
270676.902	270682.51651676	270688.28398007	270694.14791085	270700.05736261	270705.98061575	270711.90596628	270717.83291296	270723.76360935	270729.70062735	270735.64719463	270741.60302624	270747.552521	270753.45684546	270759.299
270673.282	270679.03635342	270684.89751889	270690.82839764	270696.79195215	270702.76626668	270708.74326415	270714.72230235	270720.70489627	270726.69338648	270732.69181405	270738.70428852	270744.72414704	270750.71046246	270756.601
270669.541	270675.45531297	270681.42407689	270687.42962756	270693.45309049	270699.48439273	270705.51946609	270711.55680051	270717.59614769	270723.63747897	270729.68030943	270735.72414754	270741.77276331	270747.84805296	270753.993
